[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            40.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             100.00%
 USAGE                             0.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            38.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             100.00%
 USAGE                             0.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            39.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             100.00%
 USAGE                             0.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            45.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             100.00%
 USAGE                             0.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            33.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             100.00%
 USAGE                             0.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            44.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             100.00%
 USAGE                             0.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            44.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             100.00%
 USAGE                             0.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector G)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            46.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             100.00%
 USAGE                             0.00%

root@imx8qxpc0mek-auo:~# gputop -m occupancy
[H[J[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            38.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             100.00%
 USAGE                             0.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            40.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             100.00%
 USAGE                             0.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            51.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             100.00%
 USAGE                             0.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            39.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             100.00%
 USAGE                             0.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 64.00%
 SH (Shader Engine)                56.00%
 PA (Primitive Assembly)           15.00%
 SE (Setup Engine)                 54.00%
 RA (Rasterizer)                   56.00%
 TX (Texture Engine)               56.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                7.00%
 BP                                0.00%
 MC (Memory Controller)            81.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             39.00%
 USAGE                             61.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            40.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             100.00%
 USAGE                             0.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            48.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             100.00%
 USAGE                             0.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 9.00%
 SH (Shader Engine)                9.00%
 PA (Primitive Assembly)           6.00%
 SE (Setup Engine)                 9.00%
 RA (Rasterizer)                   9.00%
 TX (Texture Engine)               9.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            47.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             92.00%
 USAGE                             8.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 14.00%
 SH (Shader Engine)                14.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 14.00%
 RA (Rasterizer)                   14.00%
 TX (Texture Engine)               14.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            56.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             86.00%
 USAGE                             14.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            50.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             100.00%
 USAGE                             0.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            40.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             100.00%
 USAGE                             0.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
 TS (Tile status)                  0.00%
 BL                                0.00%
 BP                                0.00%
 MC (Memory Controller)            45.00%
 AXI_LP (AXI bus in low power)     0.00%
 IDLE0                             100.00%
 USAGE                             0.00%

[H[JOccupancy | 5 / 6  (sample_mode: TIME - 1.0 secs)
 FE (Graphics Pipeline Front End)  100.00%
 DE (Draw Engine)                  0.00%
 PE (Pixel Engine)                 0.00%
 SH (Shader Engine)                0.00%
 PA (Primitive Assembly)           0.00%
 SE (Setup Engine)                 0.00%
 RA (Rasterizer)                   0.00%
 TX (Texture Engine)               0.00%
 VG (Vector Graphics)              0.00%
 IM                                0.00%
 FP (Fragment processor)           0.00%
